line_number,target_node,skipFirst,priority,incoming_scoreEnd
1047,69677,0,7,8
1048,69677,0,7,8
1050,69677,0,7,8
1051,69677,0,7,8
1063,69677,1,8,73
1064,69681,1,7,72
1065,69683,1,7,72
1066,69688,1,8,136
1068,69677,1,8,73
1069,69681,1,7,72
1070,69683,1,7,72
1071,69689,0,9,73
1073,69677,1,8,73
1074,69681,1,7,72
1075,69683,1,7,72
1076,69689,0,9,73
1078,69677,1,8,73
1079,69681,1,7,72
1080,69681,0,0,59
1081,69683,1,7,72
1082,69683,0,0,59
1084,69677,1,8,73
1085,69681,1,7,72
1086,69681,0,0,59
1087,69683,1,7,72
1088,69683,0,0,59
1090,69677,1,8,73
1091,69677,0,0,58
1092,69681,1,7,72
1093,69681,0,0,59
1095,69677,1,8,73
1096,69677,0,0,58
1097,69681,1,7,72
1098,69681,0,0,59
1100,69677,1,8,73
1101,69677,0,0,58
1102,69677,0,1,58
1104,69677,1,8,73
1105,69677,0,0,58
1106,69677,0,1,58
1108,69678,0,7,8
1110,69678,0,7,8
1122,69677,1,0,121
1124,69678,0,0,58
1126,69678,0,0,58
1128,69679,0,7,8
1130,69679,0,7,8
1139,69678,1,0,121
1141,69679,0,0,58
1143,69679,0,0,58
1145,69671,0,0,1
1146,69672,0,0,1
1148,69671,0,0,1
1149,69672,0,0,1
1151,69669,0,1,2
1152,69671,0,0,1
1154,69669,0,1,2
1155,69671,0,0,1
1157,69669,0,1,2
1158,69669,0,1,2
1160,69669,0,1,2
1161,69669,0,1,2
1163,69665,0,5,6
1164,69667,0,5,6
1166,69665,0,5,6
1167,69667,0,5,6
1169,69662,0,6,7
1170,69665,0,5,6
1172,69662,0,6,7
1173,69665,0,5,6
1175,69662,0,6,7
1176,69662,0,6,7
1178,69662,0,6,7
1179,69662,0,6,7
1193,69662,1,7,72
1194,69665,1,6,71
1195,69667,1,6,71
1196,69669,1,2,67
1197,69671,1,1,66
1198,69672,1,1,66
1199,69679,1,0,121
1201,69662,1,7,72
1202,69665,1,6,71
1203,69667,1,6,71
1204,69669,1,2,67
1205,69671,1,1,66
1206,69671,0,1,65
1207,69672,1,1,66
1208,69672,0,1,65
1210,69662,1,7,72
1211,69665,1,6,71
1212,69667,1,6,71
1213,69669,1,2,67
1214,69671,1,1,66
1215,69671,0,1,65
1216,69672,1,1,66
1217,69672,0,1,65
1219,69662,1,7,72
1220,69665,1,6,71
1221,69667,1,6,71
1222,69669,1,2,67
1223,69669,0,1,64
1224,69671,1,1,66
1225,69671,0,1,65
1227,69662,1,7,72
1228,69665,1,6,71
1229,69667,1,6,71
1230,69669,1,2,67
1231,69669,0,1,64
1232,69671,1,1,66
1233,69671,0,1,65
1235,69662,1,7,72
1236,69665,1,6,71
1237,69667,1,6,71
1238,69669,1,2,67
1239,69669,0,1,64
1240,69669,0,0,64
1242,69662,1,7,72
1243,69665,1,6,71
1244,69667,1,6,71
1245,69669,1,2,67
1246,69669,0,1,64
1247,69669,0,0,64
1249,69662,1,7,72
1250,69665,1,6,71
1251,69665,0,0,60
1252,69667,1,6,71
1253,69667,0,0,60
1255,69662,1,7,72
1256,69665,1,6,71
1257,69665,0,0,60
1258,69667,1,6,71
1259,69667,0,0,60
1261,69662,1,7,72
1262,69662,0,1,59
1263,69665,1,6,71
1264,69665,0,0,60
1266,69662,1,7,72
1267,69662,0,1,59
1268,69665,1,6,71
1269,69665,0,0,60
1271,69662,1,7,72
1272,69662,0,1,59
1273,69662,0,0,59
1275,69662,1,7,72
1276,69662,0,1,59
1277,69662,0,0,59
1279,69663,0,6,7
1281,69663,0,6,7
1295,69662,1,0,122
1297,69663,0,0,59
1299,69663,0,0,59
1301,69657,0,0,29
1302,69658,0,0,29
1304,69657,0,0,29
1305,69658,0,0,29
1307,69653,0,1,28
1308,69657,0,0,29
1310,69653,0,1,28
1311,69657,0,0,29
1313,69653,0,1,28
1314,69653,0,0,28
1316,69653,0,1,28
1317,69653,0,0,28
1328,69653,1,0,91
1330,69654,0,0,28
1332,69654,0,0,28
1340,69654,1,0,91
1342,69655,0,0,28
1344,69655,0,0,28
1346,69647,0,7,8
1347,69649,0,7,8
1349,69647,0,7,8
1350,69649,0,7,8
1352,69645,0,8,9
1353,69647,0,7,8
1355,69645,0,8,9
1356,69647,0,7,8
1358,69645,0,8,9
1359,69645,0,8,9
1361,69645,0,8,9
1362,69645,0,8,9
1373,69645,1,9,74
1374,69647,1,8,73
1375,69649,1,8,73
1376,69655,1,0,91
1378,69645,1,9,74
1379,69647,1,8,73
1380,69647,0,0,58
1381,69649,1,8,73
1382,69649,0,0,58
1384,69645,1,9,74
1385,69647,1,8,73
1386,69647,0,0,58
1387,69649,1,8,73
1388,69649,0,0,58
1390,69645,1,9,74
1391,69645,0,1,57
1392,69647,1,8,73
1393,69647,0,0,58
1395,69645,1,9,74
1396,69645,0,1,57
1397,69647,1,8,73
1398,69647,0,0,58
1400,69645,1,9,74
1401,69645,0,1,57
1402,69645,0,0,57
1404,69645,1,9,74
1405,69645,0,1,57
1406,69645,0,0,57
1408,69641,0,0,50
1409,69642,0,0,50
1411,69641,0,0,50
1412,69642,0,0,50
1414,69639,0,1,49
1415,69641,0,0,50
1417,69639,0,1,49
1418,69641,0,0,50
1420,69639,0,1,49
1421,69639,0,0,49
1423,69639,0,1,49
1424,69639,0,0,49
1426,69635,0,0,33
1427,69637,0,0,33
1429,69635,0,0,33
1430,69637,0,0,33
1432,69632,0,0,32
1433,69635,0,0,33
1435,69632,0,0,32
1436,69635,0,0,33
1438,69632,0,0,32
1439,69632,0,1,32
1441,69632,0,0,32
1442,69632,0,1,32
1458,69632,1,0,95
1460,69633,0,1,32
1462,69633,0,1,32
1470,69633,1,0,95
1472,69627,0,0,54
1473,69629,0,0,54
1475,69627,0,0,54
1476,69629,0,0,54
1478,69625,0,1,53
1479,69627,0,0,54
1481,69625,0,1,53
1482,69627,0,0,54
1484,69625,0,1,53
1485,69625,0,0,53
1487,69625,0,1,53
1488,69625,0,0,53
1490,69621,0,0,29
1491,69623,0,0,29
1493,69621,0,0,29
1494,69623,0,0,29
1496,69617,0,0,28
1497,69621,0,0,29
1499,69617,0,0,28
1500,69621,0,0,29
1502,69617,0,0,28
1503,69617,0,1,28
1505,69617,0,0,28
1506,69617,0,1,28
1519,69617,1,0,91
1521,69618,0,0,28
1523,69618,0,0,28
1531,69618,1,0,91
1533,69619,0,0,28
1535,69619,0,0,28
1537,69611,0,8,10
1538,69613,0,8,10
1540,69611,0,8,10
1541,69613,0,8,10
1543,69607,0,9,11
1544,69611,0,8,10
1546,69607,0,9,11
1547,69611,0,8,10
1549,69607,0,9,11
1550,69607,0,9,11
1552,69607,0,9,11
1553,69607,0,9,11
1564,69607,1,10,76
1565,69611,1,9,75
1566,69613,1,9,75
1567,69619,1,0,91
1569,69607,1,10,76
1570,69611,1,9,75
1571,69611,0,0,58
1572,69613,1,9,75
1573,69613,0,0,58
1575,69607,1,10,76
1576,69611,1,9,75
1577,69611,0,0,58
1578,69613,1,9,75
1579,69613,0,0,58
1581,69607,1,10,76
1582,69607,0,1,57
1583,69611,1,9,75
1584,69611,0,0,58
1586,69607,1,10,76
1587,69607,0,1,57
1588,69611,1,9,75
1589,69611,0,0,58
1591,69607,1,10,76
1592,69607,0,1,57
1593,69607,0,0,57
1595,69607,1,10,76
1596,69607,0,1,57
1597,69607,0,0,57
1599,69608,0,9,11
1601,69608,0,9,11
1612,69607,1,0,120
1614,69608,0,0,57
1616,69608,0,0,57
1618,69609,0,9,11
1620,69609,0,9,11
1629,69608,1,0,120
1631,69609,0,0,57
1633,69609,0,0,57
1635,69601,0,0,37
1636,69603,0,0,37
1638,69601,0,0,37
1639,69603,0,0,37
1641,69599,0,1,36
1642,69601,0,0,37
1644,69599,0,1,36
1645,69601,0,0,37
1647,69599,0,1,36
1648,69599,0,0,36
1650,69599,0,1,36
1651,69599,0,0,36
1662,69599,1,0,99
1664,69595,0,0,48
1665,69596,0,0,48
1667,69595,0,0,48
1668,69596,0,0,48
1670,69593,0,1,47
1671,69595,0,0,48
1673,69593,0,1,47
1674,69595,0,0,48
1676,69593,0,1,47
1677,69593,0,0,47
1679,69593,0,1,47
1680,69593,0,0,47
1682,69587,0,0,38
1683,69591,0,0,38
1685,69587,0,0,38
1686,69591,0,0,38
1688,69587,0,0,38
1689,69587,0,0,37
1690,69588,0,0,37
1692,69587,0,0,38
1693,69587,0,0,37
1694,69588,0,0,37
1696,69587,0,0,38
1697,69587,0,0,37
1698,69587,0,1,36
1700,69587,0,0,38
1701,69587,0,0,37
1702,69587,0,1,36
1704,69583,0,6,8
1705,69585,0,6,8
1707,69583,0,6,8
1708,69585,0,6,8
1710,69579,0,7,9
1711,69583,0,6,8
1713,69579,0,7,9
1714,69583,0,6,8
1716,69579,0,7,9
1717,69579,0,7,9
1719,69579,0,7,9
1720,69579,0,7,9
1736,69579,1,8,74
1737,69583,1,7,73
1738,69585,1,7,73
1739,69587,1,0,99
1741,69579,1,8,74
1742,69583,1,7,73
1743,69583,0,0,60
1744,69585,1,7,73
1745,69585,0,0,60
1747,69579,1,8,74
1748,69583,1,7,73
1749,69583,0,0,60
1750,69585,1,7,73
1751,69585,0,0,60
1753,69579,1,8,74
1754,69579,0,0,59
1755,69583,1,7,73
1756,69583,0,0,60
1758,69579,1,8,74
1759,69579,0,0,59
1760,69583,1,7,73
1761,69583,0,0,60
1763,69579,1,8,74
1764,69579,0,0,59
1765,69579,0,1,59
1767,69579,1,8,74
1768,69579,0,0,59
1769,69579,0,1,59
1771,69580,0,7,9
1773,69580,0,7,9
1784,69579,1,0,122
1786,69580,0,0,59
1788,69580,0,0,59
1790,69581,0,7,9
1792,69581,0,7,9
1801,69580,1,0,122
1803,69581,0,0,59
1805,69581,0,0,59
1807,69573,0,0,45
1808,69575,0,0,45
1810,69573,0,0,45
1811,69575,0,0,45
1813,69571,0,0,44
1814,69573,0,0,45
1816,69571,0,0,44
1817,69573,0,0,45
1819,69571,0,0,44
1820,69571,0,1,44
1822,69571,0,0,44
1823,69571,0,1,44
1825,69567,0,0,27
1826,69569,0,0,27
1828,69567,0,0,27
1829,69569,0,0,27
1831,69564,0,1,26
1832,69567,0,0,27
1834,69564,0,1,26
1835,69567,0,0,27
1837,69564,0,1,26
1838,69564,0,0,26
1840,69564,0,1,26
1841,69564,0,0,26
1855,69564,1,0,89
1857,69565,0,0,26
1859,69565,0,0,26
1861,69559,0,0,5
1862,69561,0,0,5
1864,69559,0,0,5
1865,69561,0,0,5
